stratum,age_band,position,scenario,n_stay,n_moved,mu_stay,sigma_stay,mu_moved,sigma_moved,V0,mean_VT,median_VT,p10_VT,p90_VT,prob_down
25-28_GK,25-28,GK,stay_6m,392,86,0.014494,0.075594,0.016374,0.091154,2.0,2.2204431712264587,2.194603050745922,1.7190774913504434,2.7870426946328584,0.312
25-28_GK,25-28,GK,move_6m,392,86,0.014494,0.075594,0.016374,0.091154,2.0,2.2490324187800206,2.1998671720644825,1.5984876059623165,2.939460567889763,0.332
25-28_GK,25-28,GK,stay_3m_move_3m,392,86,0.014494,0.075594,0.016374,0.091154,2.0,2.236051307381578,2.1761402545566,1.6836322604302394,2.8927490238689666,0.32
29+_GK,29+,GK,stay_6m,360,34,-0.015239,0.055294,-0.022803,0.077462,2.0,1.8428442755852483,1.8331237632898385,1.5332491694203436,2.183274358976622,0.741
29+_GK,29+,GK,move_6m,360,34,-0.015239,0.055294,-0.022803,0.077462,2.0,1.7669627983545944,1.7398253204557403,1.3263260556203866,2.2257175825821567,0.765
29+_GK,29+,GK,stay_3m_move_3m,360,34,-0.015239,0.055294,-0.022803,0.077462,2.0,1.8051707112496203,1.771696649644815,1.4453460717946855,2.2213673102512814,0.75
U21_GK,U21,GK,stay_6m,350,127,0.078252,0.217613,0.065994,0.136044,2.0,3.6747816254622885,3.253120823216276,1.6105825374061495,6.472535472603398,0.193
U21_GK,U21,GK,move_6m,350,127,0.078252,0.217613,0.065994,0.136044,2.0,3.1161163770634936,2.9583821162406743,1.8368288641091721,4.559448928702722,0.142
U21_GK,U21,GK,stay_3m_move_3m,350,127,0.078252,0.217613,0.065994,0.136044,2.0,3.4007144392894224,3.0456351584964856,1.7346763311291078,5.592900787022483,0.164
29+_DEF,29+,DEF,stay_6m,264,27,-0.023098,0.051484,-0.049367,0.064596,2.0,1.7557939147798602,1.7481719201321355,1.4803030327574127,2.057167640709264,0.862
29+_DEF,29+,DEF,move_6m,264,27,-0.023098,0.051484,-0.049367,0.064596,2.0,1.4995056486932172,1.4841219630015312,1.183557489121644,1.822501197710757,0.967
29+_DEF,29+,DEF,stay_3m_move_3m,264,27,-0.023098,0.051484,-0.049367,0.064596,2.0,1.6232065052028415,1.5991732658397,1.3375057577151666,1.9503650199700464,0.94
29+_MID,29+,MID,stay_6m,244,30,-0.030987,0.044704,-0.030193,0.04127,2.0,1.6712940207110278,1.6664712254215912,1.4423705289298672,1.9194406368524812,0.962
29+_MID,29+,MID,move_6m,244,30,-0.030987,0.044704,-0.030193,0.04127,2.0,1.6723176563020057,1.6663465361440624,1.4420312506243922,1.8999997607641201,0.96
29+_MID,29+,MID,stay_3m_move_3m,244,30,-0.030987,0.044704,-0.030193,0.04127,2.0,1.6723789871263177,1.6581458660685504,1.4547390864480043,1.9194037998291678,0.963
29+_FWD,29+,FWD,stay_6m,237,32,-0.025494,0.07506,-0.027596,0.059335,2.0,1.7463674810791765,1.7263883724650877,1.354650291531869,2.188733998512757,0.792
29+_FWD,29+,FWD,move_6m,237,32,-0.025494,0.07506,-0.027596,0.059335,2.0,1.7059444227314695,1.6915108707601068,1.3740386917376484,2.0427174761162874,0.868
29+_FWD,29+,FWD,stay_3m_move_3m,237,32,-0.025494,0.07506,-0.027596,0.059335,2.0,1.727297392623885,1.696041683682433,1.379379848728342,2.131197136424337,0.825
